db_name,controller_id,side,trading_pair,order_type,trade_type,cumulative_fee_paid_quote,position_action,timestamp,price,base_amount,quote_amount,position_multiplier
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,1,MELANIA-USDT,LIMIT,BUY,0.00191665,OPEN,1741668182.0,0.699,13.71,9.58329,1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,1,MELANIA-USDT,MARKET,SELL,0.00481221,CLOSE,1741668187.0,0.702,13.71,9.62442,1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,1,MELANIA-USDT,LIMIT,BUY,0.0047713,OPEN,1741668716.0,0.693,13.77,9.54261,1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,1,MELANIA-USDT,LIMIT,BUY,0.0019167,OPEN,1741668226.0,0.698,13.73,9.58354,1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,1,MELANIA-USDT,LIMIT,BUY,0.00191665,OPEN,1741668282.0,0.699,13.71,9.58329,1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,1,MELANIA-USDT,MARKET,SELL,0.01427926,CLOSE,1741668735.0,0.693,41.21,28.55853,1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,2,IP-USDT,LIMIT,SELL,0.00160455,OPEN,1741667614.0,5.34851,1.5,8.022765,-1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,2,IP-USDT,MARKET,BUY,0.00400155,CLOSE,1741667651.0,5.3354,1.5,8.0031,-1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,2,IP-USDT,LIMIT,SELL,0.0014981,OPEN,1741667620.0,5.35039,1.4,7.490546,-1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,2,IP-USDT,MARKET,BUY,0.0037268,CLOSE,1741667675.0,5.324,1.4,7.4536,-1
binance_perpetual-2025-11-2-0130-2025.sqlite,binance-perpetual||MELANIA-USDT||IP-USDT||2025||isoweek11_2-0130,2,IP-USDT,LIMIT,SELL,0.00149822,OPEN,1741667627.0,5.35082,1.4,7.491148,-1
