db_name,controller_id,side,trading_pair,order_type,trade_type,cumulative_fee_paid_quote,position_action,timestamp,price,base_amount,quote_amount,position_multiplier
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014282,OPEN,1741752275,0.7141,10.0,7.141,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0035825,CLOSE,1741752466,0.7165,10.0,7.165,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014234,OPEN,1741754273,0.7117,10.0,7.117,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003572,CLOSE,1741754844,0.7144,10.0,7.144,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014228,OPEN,1741755016,0.7114,10.0,7.114,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0035715,CLOSE,1741755134,0.7143,10.0,7.143,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0014278,OPEN,1741753839,0.7139,10.0,7.139,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003584,CLOSE,1741755341,0.7168,10.0,7.168,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0035695,OPEN,1741756049,0.7139,10.0,7.139,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003584,CLOSE,1741756390,0.7168,10.0,7.168,1
